grade,sub_grade,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,safe_loans
B,B5,0,11,MORTGAGE,13.24,credit_card, 36 months,0,1,93.3,0.0,-1
D,D4,0,3,MORTGAGE,25.41,debt_consolidation, 36 months,0,1,65.3,0.0,-1
C,C1,1,0,MORTGAGE,7.13,credit_card, 36 months,0,1,20.5,0.0,-1
A,A1,1,1,RENT,19.63,debt_consolidation, 36 months,1,1,14.5,0.0,-1
D,D5,0,11,RENT,15.93,debt_consolidation, 60 months,1,1,83.4,0.0,-1
A,A3,0,4,MORTGAGE,14.55,other, 36 months,1,1,57.1,0.0,-1
B,B5,0,6,MORTGAGE,15.45,debt_consolidation, 36 months,0,1,65.0,0.0,-1
C,C4,0,11,OWN,23.73,debt_consolidation, 36 months,0,1,69.4,21.18,-1
D,D3,0,8,RENT,7.14,credit_card, 36 months,1,1,71.2,0.0,-1
E,E5,0,4,RENT,29.9,debt_consolidation, 60 months,1,1,66.0,0.0,-1
D,D2,0,6,MORTGAGE,16.49,credit_card, 36 months,1,1,56.0,0.0,-1
D,D5,0,10,RENT,2.61,debt_consolidation, 60 months,0,1,0.0,0.0,-1
B,B2,0,5,MORTGAGE,10.4,debt_consolidation, 36 months,1,1,35.4,0.0,-1
E,E4,0,3,MORTGAGE,15.17,debt_consolidation, 36 months,0,1,73.1,0.0,-1
B,B4,0,5,RENT,10.92,debt_consolidation, 36 months,0,1,24.9,0.0,-1
D,D5,0,11,RENT,26.08,debt_consolidation, 36 months,1,1,59.9,0.0,-1
B,B4,0,3,MORTGAGE,16.67,debt_consolidation, 36 months,0,1,88.3,0.0,-1
B,B2,0,9,OWN,33.65,debt_consolidation, 36 months,1,1,50.7,0.0,-1
C,C2,1,0,RENT,18.91,debt_consolidation, 36 months,0,1,74.6,0.0,-1
B,B2,0,11,MORTGAGE,34.43,debt_consolidation, 36 months,0,0,46.5,0.0,-1
B,B4,0,5,MORTGAGE,25.14,debt_consolidation, 60 months,1,1,22.2,0.0,-1
D,D2,0,11,MORTGAGE,17.5,debt_consolidation, 60 months,0,1,24.7,28.1203,-1
B,B4,0,4,RENT,21.29,credit_card, 36 months,1,1,69.5,0.0,-1
D,D4,1,1,RENT,14.49,debt_consolidation, 36 months,0,1,53.7,0.0,-1
B,B5,0,7,MORTGAGE,29.44,debt_consolidation, 36 months,0,1,47.5,0.0,-1
B,B4,0,9,MORTGAGE,19.8,vacation, 36 months,1,1,92.9,0.0,-1
B,B1,0,7,MORTGAGE,18.99,small_business, 36 months,1,1,18.4,0.0,-1
B,B1,0,11,MORTGAGE,27.34,credit_card, 36 months,1,1,86.8,0.0,-1
E,E1,0,11,OWN,25.78,debt_consolidation, 60 months,1,1,69.1,0.0,-1
D,D4,0,11,MORTGAGE,15.46,debt_consolidation, 36 months,0,0,96.2,0.0,-1
C,C1,0,4,MORTGAGE,25.35,debt_consolidation, 36 months,0,1,87.0,0.0,-1
D,D2,0,5,MORTGAGE,18.03,debt_consolidation, 36 months,0,0,97.2,0.0,-1
E,E5,0,3,MORTGAGE,23.53,debt_consolidation, 60 months,0,1,87.6,0.0,-1
B,B3,0,6,RENT,19.09,debt_consolidation, 36 months,1,1,52.3,0.0,-1
B,B5,0,4,MORTGAGE,10.64,debt_consolidation, 36 months,1,1,66.9,0.0,-1
A,A5,0,11,MORTGAGE,16.86,debt_consolidation, 36 months,0,1,55.6,0.0,-1
C,C4,0,9,MORTGAGE,33.49,debt_consolidation, 36 months,0,0,48.2,0.0,-1
D,D3,0,8,RENT,27.82,other, 36 months,0,0,94.0,0.0,-1
B,B2,0,7,RENT,22.38,other, 36 months,1,1,52.4,0.0,-1
E,E3,0,11,RENT,7.98,other, 60 months,1,1,61.7,0.0,-1
D,D3,0,5,RENT,21.24,other, 36 months,1,1,51.2,0.0,-1
B,B2,0,4,RENT,8.12,credit_card, 36 months,1,1,29.4,0.0,-1
B,B1,1,1,RENT,20.93,debt_consolidation, 36 months,1,1,71.4,0.0,-1
C,C2,0,11,MORTGAGE,22.69,debt_consolidation, 36 months,1,1,64.3,0.0,-1
B,B4,1,1,RENT,28.04,debt_consolidation, 36 months,1,1,47.6,0.0,-1
F,F4,0,11,MORTGAGE,21.03,debt_consolidation, 60 months,1,1,85.9,0.0,-1
F,F4,0,11,RENT,11.32,other, 60 months,1,1,73.8,0.0,-1
B,B5,0,6,RENT,28.74,medical, 36 months,1,1,50.1,0.0,-1
C,C4,0,8,RENT,29.87,debt_consolidation, 36 months,0,1,42.4,0.0,-1
C,C1,0,11,OWN,15.65,major_purchase, 36 months,0,0,28.6,0.0,-1
C,C2,0,11,MORTGAGE,17.01,debt_consolidation, 36 months,1,1,59.5,0.0,-1
C,C1,0,11,MORTGAGE,27.47,credit_card, 36 months,1,1,57.7,42.9135,-1
A,A3,0,9,RENT,21.13,other, 36 months,1,1,12.8,0.0,-1
D,D4,0,11,MORTGAGE,20.54,credit_card, 60 months,1,1,80.7,0.0,-1
A,A1,0,4,RENT,7.77,debt_consolidation, 36 months,1,1,6.1,18.26,-1
C,C4,0,8,MORTGAGE,14.8,debt_consolidation, 36 months,0,0,40.5,0.0,-1
D,D5,1,1,RENT,16.33,debt_consolidation, 36 months,1,1,81.9,0.0,-1
A,A4,0,7,MORTGAGE,7.82,small_business, 36 months,1,1,66.3,0.0,-1
D,D4,0,2,OWN,10.94,debt_consolidation, 36 months,1,1,95.9,0.0,-1
B,B5,0,11,RENT,24.96,debt_consolidation, 60 months,1,1,31.3,0.0,-1
D,D4,0,8,MORTGAGE,28.48,debt_consolidation, 60 months,1,1,79.9,0.0,-1
A,A4,1,1,MORTGAGE,18.14,debt_consolidation, 36 months,1,1,5.1,0.0,-1
A,A3,1,1,OWN,20.95,credit_card, 36 months,1,1,45.1,0.0,-1
A,A3,0,11,MORTGAGE,2.97,debt_consolidation, 36 months,0,0,6.8,0.0,-1
B,B1,0,9,RENT,5.9,debt_consolidation, 36 months,1,1,84.8,0.0,-1
C,C5,0,2,RENT,20.12,medical, 36 months,0,1,66.0,0.0,-1
C,C1,0,5,OWN,3.07,wedding, 36 months,1,1,31.7,0.0,-1
C,C1,0,11,RENT,32.86,credit_card, 36 months,1,1,87.9,0.0,-1
D,D2,0,6,MORTGAGE,27.56,debt_consolidation, 60 months,0,1,54.5,0.0,-1
A,A4,0,2,RENT,18.88,credit_card, 36 months,1,1,79.8,0.0,-1
B,B4,1,1,OWN,11.53,debt_consolidation, 60 months,0,1,73.0,0.0,-1
B,B5,0,3,RENT,29.26,debt_consolidation, 36 months,1,1,71.5,0.0,-1
B,B1,0,11,RENT,16.8,home_improvement, 36 months,0,1,55.1,0.0,-1
C,C1,0,11,OWN,21.79,debt_consolidation, 36 months,0,0,50.0,0.0,-1
C,C1,0,10,MORTGAGE,25.86,debt_consolidation, 36 months,1,1,81.4,0.0,-1
B,B5,0,11,RENT,31.05,vacation, 36 months,0,1,83.7,0.0,-1
C,C2,1,1,RENT,23.8,debt_consolidation, 36 months,0,1,38.4,0.0,-1
D,D4,0,9,RENT,12.09,debt_consolidation, 60 months,0,0,73.5,0.0,-1
E,E1,0,8,MORTGAGE,11.52,credit_card, 36 months,0,1,78.4,59.86,-1
C,C4,0,4,RENT,28.95,debt_consolidation, 36 months,0,1,59.6,0.0,-1
B,B3,0,11,RENT,18.93,other, 36 months,1,1,71.1,0.0,-1
A,A5,1,0,RENT,23.15,debt_consolidation, 36 months,1,1,57.7,0.0,-1
B,B3,0,5,MORTGAGE,27.28,other, 36 months,1,1,70.4,0.0,-1
C,C5,0,11,MORTGAGE,13.83,debt_consolidation, 36 months,1,1,56.5,0.0,-1
D,D4,0,3,RENT,10.03,other, 36 months,0,1,78.5,0.0,-1
B,B3,0,7,RENT,23.67,other, 36 months,1,1,27.0,0.0,-1
A,A2,0,11,MORTGAGE,8.14,debt_consolidation, 36 months,1,1,23.9,14.9665,-1
C,C1,0,5,RENT,19.54,other, 36 months,1,1,48.2,0.0,-1
G,G1,0,11,OWN,22.91,debt_consolidation, 36 months,0,1,73.8,0.0,-1
B,B3,0,11,MORTGAGE,13.15,debt_consolidation, 36 months,1,1,90.7,0.0,-1
B,B3,0,11,MORTGAGE,28.51,debt_consolidation, 36 months,1,1,24.6,0.0,-1
B,B4,0,3,MORTGAGE,14.87,debt_consolidation, 36 months,0,1,39.8,0.0,-1
C,C2,0,4,RENT,8.4,credit_card, 36 months,1,1,60.0,34.64,-1
D,D3,0,9,MORTGAGE,12.35,house, 36 months,0,0,88.2,0.0,-1
B,B2,1,1,RENT,27.03,medical, 36 months,0,1,68.3,0.0,-1
B,B4,0,11,RENT,20.31,other, 36 months,1,1,76.6,0.0,-1
C,C2,1,1,MORTGAGE,6.93,debt_consolidation, 36 months,0,1,93.8,0.0,-1
D,D2,0,11,MORTGAGE,15.89,debt_consolidation, 36 months,1,1,83.2,0.0,-1
D,D1,0,11,OWN,16.8,other, 36 months,1,1,88.6,0.0,-1
B,B3,1,1,RENT,33.22,debt_consolidation, 36 months,0,0,50.0,0.0,-1
D,D4,0,3,RENT,6.92,debt_consolidation, 36 months,0,0,46.5,0.0,-1
C,C4,0,6,MORTGAGE,20.49,small_business, 36 months,1,1,48.3,0.0,-1
F,F4,1,0,MORTGAGE,18.85,debt_consolidation, 60 months,0,0,67.0,0.0,-1
A,A4,0,11,MORTGAGE,4.62,debt_consolidation, 36 months,0,1,56.3,0.0,-1
D,D1,0,4,RENT,19.87,credit_card, 36 months,1,1,81.1,0.0,-1
F,F1,1,0,RENT,12.51,debt_consolidation, 60 months,0,0,72.4,0.0,-1
F,F5,0,3,MORTGAGE,10.08,debt_consolidation, 60 months,0,1,97.8,0.0,-1
F,F1,0,11,MORTGAGE,22.41,debt_consolidation, 60 months,0,1,87.2,26.902,-1
B,B2,0,7,RENT,29.08,debt_consolidation, 36 months,1,1,60.2,0.0,-1
B,B5,0,8,MORTGAGE,28.51,debt_consolidation, 36 months,0,1,50.0,0.0,-1
B,B2,0,7,MORTGAGE,12.66,debt_consolidation, 60 months,0,1,19.2,0.0,-1
D,D3,0,11,RENT,9.51,credit_card, 36 months,1,1,79.5,0.0,-1
D,D1,0,6,OWN,16.45,major_purchase, 36 months,1,1,64.2,0.0,-1
D,D5,0,5,MORTGAGE,18.4,debt_consolidation, 36 months,0,1,63.8,0.0,-1
D,D4,0,3,MORTGAGE,22.4,debt_consolidation, 36 months,0,0,80.6,0.0,-1
D,D4,0,7,RENT,4.44,debt_consolidation, 36 months,1,1,96.9,0.0,-1
F,F5,0,11,RENT,19.11,debt_consolidation, 60 months,0,0,54.8,0.0,-1
B,B3,0,11,MORTGAGE,26.94,debt_consolidation, 36 months,1,1,91.0,0.0,-1
D,D1,0,2,MORTGAGE,11.82,debt_consolidation, 36 months,0,0,62.5,14.9925,-1
D,D2,0,6,RENT,20.74,debt_consolidation, 36 months,0,1,72.3,0.0,-1
B,B4,0,11,RENT,9.65,credit_card, 36 months,1,1,55.2,0.0,-1
C,C2,0,11,RENT,20.46,major_purchase, 36 months,1,1,72.9,0.0,-1
D,D4,0,8,RENT,27.59,credit_card, 36 months,1,1,88.0,0.0,-1
B,B5,0,5,MORTGAGE,26.42,debt_consolidation, 36 months,0,1,27.9,0.0,-1
D,D1,0,7,RENT,7.83,debt_consolidation, 36 months,1,1,91.2,0.0,-1
A,A4,1,0,RENT,20.33,debt_consolidation, 36 months,1,1,63.7,0.0,-1
E,E3,0,11,MORTGAGE,8.78,medical, 60 months,0,0,46.7,0.0,-1
A,A1,0,2,RENT,34.78,small_business, 36 months,1,1,23.6,0.0,-1
D,D5,0,3,RENT,24.4,credit_card, 36 months,1,1,97.0,0.0,-1
B,B4,0,3,MORTGAGE,18.7,debt_consolidation, 36 months,0,1,65.6,27.0,-1
B,B5,0,11,MORTGAGE,22.52,credit_card, 60 months,1,1,75.3,0.0,-1
A,A3,0,5,RENT,0.36,wedding, 36 months,1,1,12.8,0.0,-1
C,C4,0,6,MORTGAGE,22.17,debt_consolidation, 36 months,0,1,44.3,0.0,-1
B,B3,0,5,RENT,33.72,debt_consolidation, 36 months,1,1,62.5,0.0,-1
C,C1,0,3,RENT,13.95,home_improvement, 36 months,0,0,72.1,15.0,-1
E,E3,1,1,RENT,10.94,house, 60 months,1,1,60.9,0.0,-1
D,D3,0,11,OWN,17.4,home_improvement, 60 months,0,1,56.4,0.0,-1
C,C5,0,11,OWN,8.3,debt_consolidation, 36 months,1,1,78.5,0.0,-1
C,C1,0,2,RENT,29.22,debt_consolidation, 36 months,0,1,40.1,0.0,-1
D,D1,0,8,RENT,15.17,small_business, 36 months,0,0,78.0,21.62,-1
B,B5,0,10,RENT,10.63,debt_consolidation, 36 months,1,1,51.5,0.0,-1
C,C5,0,11,MORTGAGE,24.75,debt_consolidation, 60 months,1,1,78.7,0.0,-1
A,A5,0,11,MORTGAGE,12.27,debt_consolidation, 36 months,1,1,70.0,0.0,-1
B,B5,1,1,RENT,32.11,debt_consolidation, 36 months,1,1,45.3,0.0,-1
C,C1,0,2,RENT,7.25,debt_consolidation, 36 months,1,1,59.7,0.0,-1
C,C5,1,1,MORTGAGE,9.14,debt_consolidation, 60 months,1,1,55.9,0.0,-1
D,D2,0,9,RENT,29.7,debt_consolidation, 36 months,0,0,46.4,0.0,-1
E,E4,1,1,MORTGAGE,20.77,debt_consolidation, 60 months,1,1,68.5,27.6014,-1
C,C2,1,1,RENT,9.33,moving, 36 months,0,0,60.2,0.0,-1
B,B3,0,6,MORTGAGE,10.16,home_improvement, 36 months,0,0,81.4,0.0,-1
D,D4,0,5,RENT,13.95,debt_consolidation, 36 months,0,1,31.5,0.0,-1
B,B3,0,8,RENT,22.12,wedding, 36 months,0,0,28.4,0.0,-1
B,B3,0,8,RENT,18.95,other, 36 months,0,1,76.1,0.0,-1
D,D3,0,3,MORTGAGE,20.75,debt_consolidation, 60 months,0,1,43.5,0.0,-1
D,D2,0,11,RENT,22.95,debt_consolidation, 60 months,1,1,80.8,0.0,-1
B,B3,0,11,RENT,28.7,debt_consolidation, 36 months,1,1,73.5,0.0,-1
D,D5,0,8,MORTGAGE,14.86,debt_consolidation, 36 months,0,1,41.3,0.0,-1
C,C2,0,4,RENT,17.4,debt_consolidation, 36 months,0,1,53.4,0.0,-1
B,B2,0,11,MORTGAGE,29.04,debt_consolidation, 36 months,1,1,76.7,30.88,-1
B,B3,0,7,RENT,25.7,debt_consolidation, 36 months,1,1,79.8,0.0,-1
F,F3,1,1,RENT,3.84,small_business, 60 months,0,0,81.3,0.0,-1
C,C3,0,8,MORTGAGE,27.45,debt_consolidation, 36 months,1,1,66.5,0.0,-1
D,D3,0,11,RENT,12.02,debt_consolidation, 36 months,0,0,96.5,0.0,-1
C,C4,0,4,RENT,2.77,small_business, 36 months,1,1,12.1,0.0,-1
C,C5,0,11,MORTGAGE,23.15,credit_card, 60 months,1,1,76.7,0.0,-1
C,C2,0,6,MORTGAGE,26.66,debt_consolidation, 36 months,0,0,81.7,0.0,-1
C,C1,0,6,OWN,6.43,debt_consolidation, 36 months,0,0,30.7,0.0,-1
C,C4,0,6,RENT,10.9,debt_consolidation, 36 months,1,1,26.2,0.0,-1
A,A4,0,3,MORTGAGE,11.49,debt_consolidation, 36 months,0,0,4.4,0.0,-1
C,C5,0,8,MORTGAGE,16.07,debt_consolidation, 60 months,0,0,79.4,0.0,-1
C,C5,0,5,MORTGAGE,19.83,debt_consolidation, 60 months,1,1,78.4,0.0,-1
A,A4,1,0,MORTGAGE,34.64,debt_consolidation, 36 months,1,1,48.4,0.0,-1
B,B3,0,5,RENT,22.32,debt_consolidation, 36 months,0,0,29.6,0.0,-1
B,B5,0,3,MORTGAGE,22.1,credit_card, 36 months,0,1,88.6,0.0,-1
B,B1,0,4,RENT,18.24,debt_consolidation, 36 months,1,1,44.5,0.0,-1
B,B3,0,5,RENT,13.48,debt_consolidation, 36 months,1,1,56.2,0.0,-1
D,D5,0,2,RENT,6.18,credit_card, 36 months,1,1,93.9,0.0,-1
A,A3,0,11,MORTGAGE,14.85,major_purchase, 36 months,0,1,37.0,0.0,-1
C,C3,0,2,RENT,16.04,debt_consolidation, 36 months,1,1,75.3,0.0,-1
B,B5,0,2,MORTGAGE,20.54,home_improvement, 36 months,1,1,44.5,0.0,-1
F,F3,0,9,MORTGAGE,30.04,debt_consolidation, 60 months,1,1,63.1,0.0,-1
E,E1,0,2,MORTGAGE,18.91,credit_card, 60 months,1,1,71.2,0.0,-1
B,B4,0,11,MORTGAGE,18.55,credit_card, 36 months,0,1,55.6,0.0,-1
C,C5,0,2,RENT,18.07,other, 36 months,1,1,79.9,0.0,-1
A,A2,0,6,RENT,14.99,other, 36 months,1,1,29.4,0.0,-1
C,C2,0,11,RENT,9.35,debt_consolidation, 36 months,1,1,86.0,0.0,-1
D,D4,0,11,MORTGAGE,25.6,debt_consolidation, 60 months,0,1,49.2,0.0,-1
B,B3,0,7,RENT,27.88,debt_consolidation, 36 months,1,1,76.4,17.1971,-1
F,F1,0,5,RENT,30.72,debt_consolidation, 60 months,1,1,64.0,0.0,-1
C,C5,0,2,OWN,13.68,credit_card, 36 months,0,0,49.5,0.0,-1
D,D1,0,4,RENT,17.07,credit_card, 36 months,1,1,73.1,18.009,-1
F,F4,0,9,OWN,7.33,debt_consolidation, 60 months,1,1,56.9,0.0,-1
B,B3,0,4,RENT,2.46,debt_consolidation, 36 months,0,0,47.6,0.0,-1
E,E5,1,0,MORTGAGE,10.51,debt_consolidation, 60 months,0,0,82.4,0.0,-1
B,B1,0,10,RENT,12.56,debt_consolidation, 36 months,1,1,67.2,0.0,-1
D,D1,0,5,RENT,6.75,debt_consolidation, 36 months,0,0,20.8,0.0,-1
C,C1,0,11,RENT,29.78,credit_card, 36 months,1,1,55.8,0.0,-1
E,E4,0,11,RENT,20.72,debt_consolidation, 60 months,1,1,85.1,0.0,-1
C,C1,1,1,OWN,8.68,other, 36 months,0,1,0.2,0.0,-1
E,E1,0,4,RENT,21.43,debt_consolidation, 36 months,1,1,60.6,0.0,-1
C,C2,0,6,RENT,12.38,debt_consolidation, 36 months,1,1,34.1,0.0,-1
E,E4,0,4,RENT,14.68,credit_card, 60 months,1,1,66.1,0.0,-1
B,B4,0,11,MORTGAGE,9.04,debt_consolidation, 36 months,0,1,64.2,0.0,-1
A,A4,0,6,RENT,14.71,vacation, 36 months,1,1,0.1,0.0,-1
C,C1,1,0,MORTGAGE,31.2,debt_consolidation, 36 months,0,1,73.4,0.0,-1
C,C3,0,2,RENT,16.78,moving, 36 months,1,1,62.4,0.0,-1
C,C3,1,1,RENT,23.2,other, 36 months,1,1,73.3,0.0,-1
B,B5,0,3,RENT,29.76,debt_consolidation, 36 months,0,0,25.8,0.0,-1
B,B4,1,1,MORTGAGE,26.69,debt_consolidation, 36 months,0,1,43.8,0.0,-1
C,C5,1,1,RENT,19.37,debt_consolidation, 36 months,1,1,81.3,0.0,-1
E,E1,0,11,RENT,23.52,debt_consolidation, 60 months,1,1,80.0,0.0,-1
C,C3,1,0,OWN,22.71,debt_consolidation, 36 months,0,0,23.4,0.0,-1
B,B5,0,5,MORTGAGE,21.72,debt_consolidation, 36 months,1,1,80.7,0.0,-1
A,A5,0,3,OWN,29.56,medical, 36 months,1,1,52.2,0.0,-1
F,F5,0,2,MORTGAGE,7.85,debt_consolidation, 60 months,0,0,46.3,0.0,-1
D,D1,0,7,MORTGAGE,11.49,debt_consolidation, 36 months,0,1,68.9,41.0598,-1
D,D5,0,9,MORTGAGE,30.64,debt_consolidation, 36 months,1,1,95.8,0.0,-1
B,B4,0,6,RENT,24.81,other, 36 months,1,1,53.4,0.0,-1
E,E1,0,7,RENT,23.09,debt_consolidation, 60 months,1,1,67.8,0.0,-1
B,B4,0,8,RENT,12.89,debt_consolidation, 36 months,1,1,33.7,0.0,-1
B,B3,0,6,RENT,7.87,debt_consolidation, 36 months,1,1,50.9,0.0,-1
B,B3,0,11,MORTGAGE,8.65,debt_consolidation, 36 months,1,1,88.8,0.0,-1
E,E4,0,11,MORTGAGE,13.97,debt_consolidation, 60 months,1,1,70.5,0.0,-1
B,B4,0,8,MORTGAGE,4.9,debt_consolidation, 36 months,0,0,82.2,0.0,-1
C,C5,0,6,RENT,13.47,debt_consolidation, 36 months,1,1,33.4,0.0,-1
A,A2,1,0,OWN,23.38,home_improvement, 36 months,1,1,20.5,0.0,-1
D,D3,0,3,MORTGAGE,12.0,debt_consolidation, 60 months,1,1,83.7,0.0,-1
B,B5,0,11,MORTGAGE,20.97,credit_card, 36 months,1,1,74.3,0.0,-1
C,C1,0,7,RENT,21.9,credit_card, 36 months,1,1,83.8,0.0,-1
D,D1,0,2,RENT,33.43,debt_consolidation, 36 months,0,0,68.5,0.0,-1
D,D3,0,5,RENT,15.62,debt_consolidation, 36 months,0,0,51.2,0.0,-1
D,D2,0,2,MORTGAGE,30.66,debt_consolidation, 36 months,1,1,63.2,0.0,-1
A,A4,0,11,MORTGAGE,20.73,debt_consolidation, 36 months,1,1,81.0,0.0,-1
F,F1,1,1,MORTGAGE,21.37,debt_consolidation, 60 months,0,0,81.9,0.0,-1
D,D1,0,3,RENT,17.09,house, 36 months,0,1,29.4,0.0,-1
A,A5,0,8,RENT,20.8,debt_consolidation, 36 months,1,1,43.9,0.0,-1
B,B5,0,11,RENT,28.29,credit_card, 36 months,0,1,76.6,0.0,-1
C,C2,0,6,MORTGAGE,24.84,debt_consolidation, 36 months,1,1,48.6,0.0,-1
C,C5,0,5,OWN,22.46,major_purchase, 36 months,1,1,52.3,0.0,-1
B,B5,0,8,RENT,28.39,debt_consolidation, 36 months,1,1,77.9,0.0,-1
D,D3,0,10,MORTGAGE,14.6,home_improvement, 60 months,1,1,70.5,0.0,-1
D,D3,0,11,MORTGAGE,26.47,credit_card, 36 months,0,1,43.0,0.0,-1
G,G1,0,11,MORTGAGE,24.0,debt_consolidation, 60 months,0,1,95.1,0.0,-1
D,D5,0,3,RENT,21.59,credit_card, 36 months,0,1,61.5,194.37,-1
D,D3,0,7,RENT,21.96,debt_consolidation, 36 months,0,1,95.2,0.0,-1
E,E5,1,0,RENT,15.97,debt_consolidation, 60 months,1,1,73.4,0.0,-1
B,B3,0,3,RENT,12.41,credit_card, 36 months,0,1,45.7,0.0,-1
D,D4,0,3,RENT,33.6,major_purchase, 60 months,1,1,83.1,0.0,-1
B,B5,0,7,RENT,34.88,debt_consolidation, 36 months,1,1,58.1,0.0,-1
A,A4,0,4,MORTGAGE,23.25,debt_consolidation, 36 months,1,1,55.7,0.0,-1
C,C2,0,3,RENT,33.24,credit_card, 36 months,0,1,82.1,0.0,-1
B,B5,0,5,RENT,19.28,debt_consolidation, 36 months,1,1,81.3,0.0,-1
C,C5,0,2,MORTGAGE,13.64,debt_consolidation, 36 months,1,1,52.5,0.0,-1
B,B3,0,10,MORTGAGE,11.18,debt_consolidation, 36 months,1,1,63.3,0.0,-1
D,D4,0,7,MORTGAGE,19.9,debt_consolidation, 60 months,0,0,49.5,24.739,-1
B,B3,0,3,MORTGAGE,8.49,debt_consolidation, 36 months,1,1,71.9,0.0,-1
F,F2,0,7,MORTGAGE,11.09,moving, 60 months,1,1,95.0,0.0,-1
D,D1,0,2,MORTGAGE,12.09,debt_consolidation, 36 months,1,1,86.1,0.0,-1
C,C1,0,8,OWN,31.63,debt_consolidation, 36 months,1,1,71.8,0.0,-1
D,D2,0,7,MORTGAGE,16.05,debt_consolidation, 60 months,0,0,53.4,0.0,-1
G,G2,0,11,RENT,31.16,debt_consolidation, 60 months,0,1,64.8,0.0,-1
E,E3,0,3,RENT,13.89,debt_consolidation, 36 months,0,0,71.5,0.0,-1
B,B5,0,8,RENT,22.19,credit_card, 36 months,1,1,82.9,0.0,-1
B,B4,0,3,RENT,30.29,debt_consolidation, 36 months,1,1,79.5,0.0,-1
B,B3,0,11,MORTGAGE,32.54,debt_consolidation, 36 months,1,1,64.3,0.0,-1
B,B2,0,5,RENT,5.37,debt_consolidation, 36 months,0,1,45.3,0.0,-1
B,B5,0,6,MORTGAGE,21.63,debt_consolidation, 36 months,1,1,33.2,0.0,-1
D,D3,0,11,RENT,13.22,debt_consolidation, 60 months,0,1,51.7,0.0,-1
D,D4,0,8,RENT,34.39,debt_consolidation, 36 months,0,0,67.9,0.0,-1
C,C5,0,11,MORTGAGE,27.82,debt_consolidation, 60 months,1,1,77.9,0.0,-1
A,A2,0,6,MORTGAGE,2.3,credit_card, 36 months,1,1,20.2,0.0,-1
B,B5,0,3,MORTGAGE,34.91,debt_consolidation, 36 months,0,1,53.4,0.0,-1
D,D4,0,11,RENT,30.94,debt_consolidation, 60 months,0,1,51.6,0.0,-1
B,B3,0,5,RENT,29.21,credit_card, 36 months,1,1,84.2,0.0,-1
B,B4,0,11,RENT,21.22,debt_consolidation, 36 months,1,1,71.8,0.0,-1
C,C1,0,9,RENT,5.43,debt_consolidation, 36 months,1,1,77.1,0.0,-1
C,C1,0,8,RENT,18.38,debt_consolidation, 36 months,1,1,90.6,0.0,-1
A,A4,0,4,MORTGAGE,20.0,debt_consolidation, 36 months,1,1,61.5,0.0,-1
C,C1,0,5,RENT,12.75,credit_card, 36 months,0,0,39.5,0.0,-1
B,B1,0,10,MORTGAGE,23.2,debt_consolidation, 36 months,1,1,54.7,0.0,-1
C,C2,0,6,RENT,6.72,small_business, 36 months,1,1,45.6,0.0,-1
C,C2,0,11,OWN,23.1,debt_consolidation, 36 months,1,1,91.9,0.0,-1
B,B5,0,6,RENT,8.36,debt_consolidation, 36 months,0,1,37.5,0.0,-1
B,B2,0,9,RENT,13.48,credit_card, 36 months,1,1,52.9,0.0,-1
C,C2,0,11,MORTGAGE,4.8,debt_consolidation, 36 months,0,1,80.8,0.0,-1
C,C2,0,9,MORTGAGE,29.14,other, 36 months,1,1,64.8,0.0,-1
E,E3,0,9,MORTGAGE,9.7,debt_consolidation, 60 months,1,1,46.5,0.0,-1
A,A1,0,11,MORTGAGE,17.22,home_improvement, 36 months,1,1,45.2,0.0,-1
C,C3,0,11,RENT,7.62,debt_consolidation, 36 months,1,1,29.6,0.0,-1
D,D4,0,4,MORTGAGE,16.8,debt_consolidation, 60 months,1,1,75.5,0.0,-1
E,E5,0,9,MORTGAGE,18.93,debt_consolidation, 36 months,0,1,69.3,0.0,-1
E,E1,0,6,MORTGAGE,21.04,debt_consolidation, 60 months,0,1,26.0,0.0,-1
F,F4,0,7,RENT,27.96,debt_consolidation, 60 months,1,1,71.1,0.0,-1
A,A4,0,11,MORTGAGE,32.43,debt_consolidation, 36 months,1,1,64.8,0.0,-1
A,A4,0,7,MORTGAGE,29.6,debt_consolidation, 36 months,1,1,57.9,0.0,-1
B,B1,0,7,MORTGAGE,28.37,house, 36 months,1,1,71.4,0.0,-1
B,B5,0,7,MORTGAGE,15.06,credit_card, 36 months,1,1,59.2,0.0,-1
A,A3,0,2,RENT,7.32,wedding, 36 months,1,1,2.3,0.0,-1
B,B3,0,11,MORTGAGE,30.95,credit_card, 36 months,1,1,73.8,0.0,-1
B,B3,0,11,MORTGAGE,16.85,debt_consolidation, 36 months,0,0,63.0,0.0,-1
D,D5,0,5,MORTGAGE,31.89,credit_card, 36 months,0,1,86.1,0.0,-1
C,C3,0,2,MORTGAGE,13.17,debt_consolidation, 36 months,1,1,65.2,0.0,-1
D,D2,0,6,MORTGAGE,22.63,debt_consolidation, 36 months,1,1,62.2,0.0,-1
C,C2,0,11,RENT,26.86,debt_consolidation, 36 months,0,1,75.5,0.0,-1
B,B5,1,1,RENT,26.34,debt_consolidation, 36 months,1,1,58.4,0.0,-1
C,C1,0,8,RENT,27.34,credit_card, 36 months,1,1,59.2,15.0,-1
